type,subType,author,addressee,title,"editorList
",titleVolume,journal,partANDvol,place,"publisher
",date,pages,link
Bibliografia,Monografia,Manlio Dazzi,,"Il libro chiuso di Maffio Venier (La tenzone con Veronica Franco),",,,,,Venezia,Neri Pozza,1956,,
Bibliografia,Poetica,Maffio Venier,,Canzoni e sonetti,A. Carminati,,,,Venezia,Corbo e Fiore,1993,,
Bibliografia,Monografia,Arturo Graf,,Veronica Franco e i suoi poeti,,,,,Milano,Camunia,1986,,
Bibliografia,Poetica,Stefano Bianchi,,Nota bibliografica ,,Rime di Veronica Franco,,,Milano,Mursia,1995,,
Bibliografia,Monografia,Nicola Ruggieri,,Maffio Venier (arcivescovo e letterato veneziano del Cinquecento),,,,,Udine,Bosetti,1905,,
