type,subType,author,addressee,title,"editorList
",titleVolume,journal,partANDvol,place,"publisher
",date,pages,link
Fonte,Poetica,Cornelio Castaldi,,[Capitolo contro i Petrarchisti],Danilo Romei,,Banca dati “Nuovo Rinascimento”,,,,2009,,http://www.nuovorinascimento.org/n-rinasc/testi/pdf/castaldi/capitolo.pdf
Fonte,Epistolare,Pietro Bembo,,,,Lettere di Pietro Bembo Cardinale,,5,,,17/01/1537,,https://books.google.it/books?id=5A1fAAAAcAAJ&hl=it&pg=PA252#v=onepage&q&f=false
Bibliografia,Voce enciclopedica,Claudio Mutini,,Cornelio Castadi,,Dizionario Biografico degli Italiani,,Vol. 21,,,1 gennaio 1978,,http://www.treccani.it/enciclopedia/cornelio-castaldi_%28Dizionario-Biografico%29/
Fonte,Poetica,Giovanni Aurelio Augurelli,,"AD CORNELIUM CASTALIUM FERTINUM : IMITANDUM Petrarcam iis, qui eius generis poetica praestare velint, quod in ea lingua, qua loquimur, ceteris praeferendus est. CARMEN XXIII.",,Aurelius Augurellus,,,Venezia,Manuzio,01/01/1505,19r-20r,https://www2.uni-mannheim.de/mateo/itali/augurelli2/jpg/s019a.html
Fonte,Poetica,Cornelio Castaldi,,Poesie volgari e latine di Cornelio Castaldi da Feltre,,,,,Londra [Parigi],"si vende in Parigi: da Prault, Briasson, e Tilliard Librari",01/01/1757,,https://books.google.it/books?id=KpYLkfaPmYAC&printsec=frontcover&hl=it#v=onepage&q&f=false
