type,subType,author,addressee,title,"editorList
",titleVolume,journal,partANDvol,place,"publisher
",date,pages,link
Fonte,Letteraria,Giovan Battista Giraldi Cinzio,Ercole II d'Este,Discorso intorno al comporre dei romanzi,,,,,Venezia,Gabriele Giolito e fratelli,1554,,https://books.google.it/books?id=rVxcAAAAcAAJ&printsec=frontcover&dq=giraldi+cinzio+romanzi&hl=it&sa=X&ved=0ahUKEwi9ofXTjdLVAhVpAcAKHfxXCQcQ6AEINTAD#v=onepage&q=giraldi%20cinzio%20romanzi&f=false
Fonte,Letteraria,Giovan Battista Pigna,Luigi d'Este,"I romanzi, ne' quali della vita et della poesia dell'Ariosto si tratta",,,,,Venezia,Vincenzo Valgrisi,1554,,https://books.google.it/books?id=5wU8AAAAcAAJ&printsec=frontcover&dq=giovan+battista+pigna+i+romanzi&hl=it&sa=X&ved=0ahUKEwjC-om-jtLVAhVPFMAKHVrZBSQQ6AEILjAB#v=onepage&q=giovan%20battista%20pigna%20i%20romanzi&f=false
Bibiografia,Capitolo di libro,Stefano Benedetti,,"Accusa e smascheramento del ""furto"" a metà Cinquecento: riflessioni sul plagio critico intorno alla polemica tra G.B. Pigna e G.B. G. Cinzio",Roberto Gigliucci,Furto e plagio nella letteratura del classicismo,,,Roma,Bulzoni,1998,233-261,https://www.academia.edu/23761105/Accusa_e_smascheramento_del_furto_a_met%C3%A0_Cinquecento_riflessioni_sul_plagio_critico_intorno_alla_polemica_tra_G._B._Pigna_e_G._B._Giraldi_Cinzio
Bibiografia,Capitolo di libro,Francesco Beneducci ,,Ancora la causa  Giraldi-Pigna,Francesco Beneducci,Scampoli critici,,,Oneglia ,Ghilini,1899,43-48,
Bibiografia,Articolo in rivista,Daniela Boccassini,,"«Romanzevoli muse»: Giraldi, Pigna e la questione del poema cavalleresco",,,Schifanoia,n. 13-14,,,1992,203-216,
Bibiografia,Capitolo di libro,Riccardo Bruscagli,,Il romanzo del’500. «Romanzo» ed «epos» dall’Ariosto al Ta s  s o ,Riccardo Bruscagli,Il Romanzo. Origine e sviluppo delle strutture narrative nella cultura occidentale,,,Pisa,ETS,1987,53-69,
Bibiografia,Capitolo di libro,Benedetto Croce,,Postille manoscritte di Orazio Ariosto ai «Romanzi» del Pigna ,Benedetto Croce,Aneddoti di varia letteratura,,,Bari,Laterza,1953,12-18,
Bibiografia,Articolo in rivista,Stefano Jossa,,Giraldi e Pigna sui romanzi: una polemica in contesto,,,Critica letteraria,"Vol. XLI, n. 2-3 (159-160) ",,,2013,533-552,
Bibiografia,Articolo in rivista,Salvatore Ritrovato,,«Romanzi» di Giovan Battista Pigna (1554): interpretazione di un genere moderno,,,Studi e problemi di critica testuale ,"A. LII, n. 1",,,1996,131-151,
Bibiografia,Capitolo di libro,Carlo Simiani,,La contesa tra il Giraldi e il Pigna,Carlo Simiani,Contese letterarie del '500,,,Treviso ,Turazza,1904,,
Bibiografia,Articolo in rivista,Giuseppe Venturini,,Le postille di Orazio Ariosti ai «Romanzi» del Pigna,,,Lettere Italiane,"A. XXI, n.1",,,1969,54-61,
