type,subType,author,addressee,title,"editorList
",titleVolume,journal,partANDvol,place,"publisher
",date,pages,link
Fonte,Epistolare,,,Opus Epistolarum des. Erasmi Roterodami,,,,,Oxford,Percy Stafford Allen,1906-1958,,https://archive.org/details/erasmiepistolae01allenuoft
Bibliografia,Monografia,Romano Ruggeri,,"Un amico di Erasmo: 
Polidoro Virgilii",,,,,Urbino,QuattroVenti,14 giugno 1905,26-38,
Bibliografia,Monografia,Romano Ruggeri,,"Polidoro Virgilii: un 
umanista europeo",,,,,Bergamo,Moretti-Vitale,2000-,,
Bibliografia,Capitolo di libro,René Hoven,,"« Les éditions successives 
des Adages : coup d’œil sur les sources
 et les méthodes de travail d’Érasme",,"Miscellanea 
Jean-Pierre 
Van den Branden",,,Bruxelles,Maison d'Erasme,1995-,,
Bibliografia,Articolo in rivista,Antonio Serrano Cueto,,"Rivisitazione di una 
vecchia polemica: 
Polidoro Virgilio ed 
Erasmo da Rotterdam 
sul primato degli Adagia ",,,"Accademia Raffaello
atti e studi",1,,,2003-,83-90,
Fonte,Letteraria,Erasmo da Rotterdam,,"Adagiorum chiliades
iuxta locos communes
 digestæ",,,,,Hannover,"Wechelianis apud heredes Ioannis Aubrii
",1617-,,https://archive.org/details/hin-wel-all-00000524-001
Fonte,Letteraria,Polidoro Virgilii,,De Rerum Inventoribus,,"De rerum inventoribus 
libri VIII. et de 
prodigiis libri III. 
Cum indicibus 
locupletissimis",,,Amsterdam,Danielem Elzevirium,1671-,,https://archive.org/details/bub_gb_tZIpyUZ3GYkC
Fonte,Letteraria,Polidoro Virgilii,,Adagia ,,Prouerbiorumlibellus,,,,,,,https://archive.org/details/bub_gb_b5Xx9qIILnsC
