type,subType,author,addressee,title,"editorList
",titleVolume,journal,partANDvol,place,"publisher
",date,pages,link
Bibliografia,Voce enciclopedica,Giorgio Inglese,,"Machiavelli, Niccolò",,Dizionario Biografico degli Italiani,,LXVII,Roma,Treccani,2006,,http://www.treccani.it/enciclopedia/niccolo-machiavelli_(Dizionario-Biografico)
Bibliografia,Articolo in rivista,Cornel Zwirlein,,"Politik als Experimentalwissenschaft, 1521-1526: Agostino Nifos politische Schriften als Synthese von Aristotelismus und machiavellischem Discorso",,,Philosophisches Jahrbuch,CXIII,,,2006,30-62,
Bibliografia,Capitolo di libro,Sydney Anglo,,Creative Plagiarism: Agostino Nifo's De regnandi peritia,,"Machiavelli - The First Century. Studies in Enthusiasm, Hostility, and Irrelevance",,,Oxford,Oxford University Press,2005,42-84,"https://books.google.it/books?id=-K6zI1iw90AC&pg=PA42&lpg=PA42&dq=tuozzi,+agostino+nifo+e+le+sue+opere&source=bl&ots=G-n_yRrc4V&sig=MR8oQYLkNTUPj6zJZQHtNXqXR5A&hl=it&sa=X&ved=0ahUKEwj7wqOry5baAhViGsAKHXhODeIQ6AEINjAE#v=onepage&q=tuozzi%2C%20agostino%20nifo%20e%20le%20sue%20opere&f=false"
Bibliografia,Monografia,Ennio De Bellis,,Bibliografia di Agostino Nifo,,,,,Firenze,L.S. Olschki,2005,,
Bibliografia,Capitolo di libro,Dario Caruso,,Il De regnandi peritia di Agostino Nifo: plagio o censura?,Gianfranco Borrelli,"Machiavelli e la cultura politica del meridione d'Italia. Atti del Convegno (Napoli, 27/11-28/11 1997)",,,Napoli,Archivio della Ragion di Stato,2001,6-22,
Bibliografia,Capitolo di libro,Paola Cosentino,,Un plagio del Principe: il De regnandi peritia di Agostino Nifo,Roberto Gigliucci,Furto e plagio nella letteratura del Classicismo,,,Roma,Bulzoni,1998,139-160,
Bibliografia,Capitolo di libro,Giuliano Procacci,,Machiavelli aristotelico,,Machiavelli nella cultura europea dell'età moderna,,,Roma-Bari,Laterza,1995,63-81,
Bibliografia,Voce enciclopedica,Giorgio Inglese,,"Nifo, Agostino",,La letteratura italiana. Gli autori. Dizionario bio-bibliografico e indici,,Vol. II (F-Z),Torino,Einaudi,1991,1269,
Bibliografia,Articolo in rivista,Paul Larivaille,,"Nifo, Machiavelli, principato civile",,,Interpres,IX,,,1989,150-195,
Bibliografia,Capitolo di libro,Carlo Dionisotti,,Dalla repubblica al principato,,Machiavellerie. Storia e fortuna di Machiavelli,,,Torino,Einaudi,1980, 101-153,
Bibliografia,Capitolo di libro,Franco Gaeta,,Appunti sulla fortuna del pensiero politico di Machiavelli,,"Il pensiero politico di Machiavelli e la sua fortuna nel mondo. Atti del Convegno Internazionale (San Casciano-Firenze, 28/9-29/9 1969)",,,Firenze,Istituto Nazionale di Studi sul Rinascimento,1972,21-36,
Bibliografia,Monografia,Giuliano Procacci,,Studi sulla fortuna del Machiavelli,,,,,Roma,Istituto Storico Italiano per l'età moderna e contemporanea,1965,in particolare 3-26,
Bibliografia,Articolo in rivista,Giovanni Valletta,,A proposito di un plagio di Agostino Nifo,,,Lettere Italiane,"Fasc. 2-3, anno III",,,1951,65-82,
Bibliografia,Articolo in rivista,Giovanni Valletta,,"Il ""Principe"" di Machiavelli e il ""De regnandi peritia"" di Agostino Nifo",,,Annali della Facoltà di Lettere e Filosofia dell'Università di Napoli,I,,,1951,137-156,
Bibliografia,Capitolo di libro,Oreste Tommasini,,"Il libro ""De principatibus"" o ""Del principe""",,La vita e gli scritti di Niccolò Machiavelli nella loro relazione col machiavellismo,,,Roma,Loescher,1911,89-142,https://archive.org/stream/lavitaegliscritt02tomm#page/n9/mode/2up
Bibliografia,Articolo in rivista,Pasquale Tuozzi,,Agostino Nifo e le sue opere,,,"Atti e memorie della R. Accademia di scienze, lettere ed arti in Padova","XX, nuova serie",,,1903-1904,63-86,
Bibliografia,Articolo in rivista,Francesco Fiorentino,,"Del ""Principe"" del Machiavelli e di un libro di Agostino Nifo",,,"Giornale Napoletano di Filosofia e Lettere, Scienze Morali e Politiche","I, nuova serie",,,1879,94-114,
Bibliografia,Monografia,Giuseppe Ferrari,,Corso sugli scrittori politici italiani,,,,,Milano,Tipografia di F. Manini,1862,"in particolare 338-342, 828 ",https://archive.org/details/bub_gb_N58wRwCGckwC
