type,subType,author,addressee,title,"editorList
",titleVolume,journal,partANDvol,place,"publisher
",date,pages,link
Fonte,Letteraria,Roberto Titi,Francesco Muglioni,Locorum controversorum libri decem ,,,,,Firenze,Sermatelli,1583,,https://books.google.it/books?id=wHMMnSb3huAC&printsec=frontcover&dq=roberto+titi+locorum&hl=it&sa=X&ved=0ahUKEwj6naTkq9_bAhXM1hQKHVVKBuMQ6AEIVTAI#v=onepage&q=roberto%20titi%20locorum&f=false
Fonte,Letteraria,Yves Villomari (pseudonimo di Giuseppe Giusto Scaligero),Andream Oessentum Quinpentonij et Burentelli ,In locos controversos Roberti Titii animadversionum liber,,,,,Parigi,Robertus Stephanus (Robert Estienne),1586,,
Fonte,Letteraria,Roberto Titi,Francesco Muglioni,Pro suis locis controversis assertio adversus Yvonem quemdam Villomarum Italici nominis calumniatorem ,,,,,Firenze,Sermatelli,1589,,https://books.google.it/books?id=MIravgotYyUC&pg=PA146&dq=roberto+titi+pro+suis+locis&hl=it&sa=X&ved=0ahUKEwjH2IuQrN_bAhUlhqYKHTjwBZIQ6AEIOjAD#v=onepage&q=roberto%20titi%20pro%20suis%20locis&f=false
Bibliografia,Articolo in rivista,Francesco-Maria Ceffini,,Vita di Roberto Titi,,,Giornale de' letterati d'Italia,"Vol. 33, parte 2",Venezia,G. Hertz,1722,177-233,https://books.google.it/books?id=lxE0AAAAMAAJ&printsec=frontcover&hl=it&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false
Bibliografia,Voce enciclopedica,Gino Funaioli,,"Scaligero, Giuseppe Giusto",Istituto dell' enciclopedia italiana,"Enciclopedia italiana di scienza, lettere ed arti",,Vol. 30,Roma,Treccani,1936,,http://www.treccani.it/enciclopedia/giuseppe-giusto-scaligero_%28Enciclopedia-Italiana%29/
Bibliografia,Monografia,Jacob Bernays,,Joseph Justus Scaliger,,,,,Berlino,W. Hertz,1855,,
